id,answer
1,"1 место: Настя
2 место: Маша
3 место: Оля"
2,"Раздался стук 
Ответ: г "
3,"Отличники. 
Ответ: г "
4,"Необычная радуга  
(сверху вниз): ж, р, б, с, к."
5,"Запутанная очередь  
1. Дима; 2. Маша; 3. Семен; 4. Борис "
6,"Шахматисты 
• Иванов-Пивоваров  
• Петров-Сутяжник 
• Сидоров-Тарелкин 
• Смирнов-Смушкин"
7,"Цветы 
• 1 место: Настя (незабудки) 
• 2 место: Маша (колокольчики) 
• 3 место: Оля (ромашки)"
8,"Подруги  
• Серова в красном 
• Краснова в сером 
• Чернова в черном"
9,"Темные и светлые волосы.
Ответ: неправду сказал человек с темными волосами"
10,"Рыцарь и надсмотрщики.
Ответ: Рыцарь должен спросить: "Если я спрошу у другого надсмотрщика, 
какая дверь ведет к свободе, что он мне ответит?" И затем выбрать дверь, 
противоположную указанной."
11,""
12,""
13,""
14,""
15,""
16,""
17,""
18,""
19,""
20,""
21,""
22,""
23,""
24,""
25,""
26,""
27,""
28,""
